Stemming;label
another another jalan hidup sandwich generation pilih lewat kelas resin kerja;neutral
anak provide korban wajib orang tua tuju anak sandwich generation;neutral
bngung bayar gaji sandwich generation sdangkan cicil bulan rabu kartu tanda duduk arti jta tanggal dekat kakak lepas tngan gitu;neutral
anak hidup jurang miskin jadi anak sandwich generation nama orang tua tolollllll;negative
iya sisa gaji sesuai kerja alhamdulilah sisa atur takdir trlahir sandwich generation iya tahan selera makan barang kasihan;neutral
anak anak tunggal sandwich generation orang tua suka ribut sinting dikit ngaruh awokawok;negative
risty tagor fita anggriani sepakat sandwich generation ngorbit;neutral
dengerinnya loncat langsung sandwich generation;negative
emosi mati kerja cerita orang tua dengar keluh kesah anak cuekin bentak sandwich generation dipeduliin uang uang uang;negative
gadis rencana tanggal sep ngajakin nobi rumah sweet loan film sandwich generation cocok dua ajak nobi moga gadis doainnn;positive
roti roti jarang jajan sandwich generation tertawa;negative
amin sandwich generation lupaa traktir makaanan enak iya irit perihal makan jangaan ur body treat;positive
kanan teman biar keren istilah sandwich dressing iya generation sandwich gaya pakai tertawa;neutral
gajih malam pagi nyisa sandwich generation;neutral
pantesan orang jogja marahin sekolah istirahat bantu orang tua jual libur jual mikirnya bantu orang tua orang tua sandwich generation keluarga kesal nanggung beban kesal kesal orang tua kasihan orang tua;negative
gapapa sodaranya tau sandwich generation;negative
hai sandwich generation lupa makan minum usaha keras penuh ekspektasi;neutral
anak sulung perempuan sandwich generation bahagia mikir adiklu bahagia;neutral
anak sandwich generation suara hmmm nikmatnyooo;positive
sandwich generation cocok bikin sandwich iya;positive
butuh pasang kendara crush sandwich generation cowok ganteng bodoh salah perintah;negative
tahan menang sandwich generation berat iya;negative
isfj sandwich generation aquarius bismillah sarjana keluarga pacar pacar semester setia cita langit gampang ilfil trauma;neutral
rahasia rezeki limpah sumber bahagia keluarga galau tanggung keluarga sandwich generation baca;neutral
sandwich generation mikir salah iya kuliah kerja biar bebanin;negative
terima kasih cgv sesuai sandwich generation;positive
kebuktiiii aktor faktor uang bad financial nama sandwich generation;neutral
et nabung sandwich generation tanggung;neutral
sisi positif sandwich generation tahan lapar tahan perih air mata keluarga rumah makan;positive
susah iya sandwich generation hidup kecoa turun;negative
orangtua bikin anak anak sandwich generation neraka duduk belah;negative
aduh nang sandwich generation rasai;negative
tahap kesal napas sandwich generation napas stuck maju tinggal pikir depan pikir bangsat enggak bisa nabung jdnya;negative
bayang senang sesuai tonton film rumah sweet loan grup kaluna rasai anak bungsu sandwich generation tambah sesuai tonton lagu uuu rumah teduh sabar tonton;positive
orang rasai sandwich generation tau susah atur uang;negative
pundak kuat anak perempuan satusatunya topang ekspektasi keluarga sandwich generation beban kelompok sama;negative
modal nabung biaya nikah lepas jerat sandwich generation cepat kerja lepas total malas tahi nyempil nyaman kerja bos dua nyempil manusia bikin malas;negative
uang simpan kena sandwich generation habis hutang keluarga keluarga hutang jalan bunga iya lembur uang rokok kencang stres guna cukkk hangus uang;negative
ortuku biayain ortuku bantuin kasih uang adekku sandwich generation;neutral
tementemen umur pergi kota negeri healing bayarin kuliah adik layan motor pakai bolap ah nikmat sandwich generation insya allah ikhlas rezeki allah nyata;positive
suka bilang sandwich generation hitung allah rezeki takdir suka konteks tabung pahala rezeki percaya siasia juang;positive
enggak mau enggak mau disamain orang orang kakak iya topang gen sandwich generation gen halilintar topang keluarga aduh diamukin iya;negative
siklus hidup sandwich generation hidup hidup;neutral
lineup per film rumah sweet loan tayang september angkat juang sandwich generation;neutral
satu anak papi gym membershipnya mana satu anak sandwich generation pas ignore stamps;neutral
simpul ortuku background keluarga didik ekonomi cukup but besar adik minus ayah sandwich generation bayarin hutang keluarga rela didik;neutral
tau alas berat sandwich generation hikmah orang tua tinggal putus egois penting hidup pribadi bikin thats punya business tertawa kesal adik;negative
kesal gaksilu tuntut sandwich generation uang tabung uang jajan kasih sesuai yasudahlah;negative
sadar dating sandwich generation utama;neutral
biar tekan sandwich generation halang lindung orangorang sayang ayo pikir asuransi rencana uang;neutral
asuransi sandwich generation sandwich generation generasi hidup orang tua anakanak betapa berat tanggung finansial;negative
ssmenjak langsung kerja bayar kuliah beli pakai uang sandwich generation jarang;neutral
teman orang tua boomers tipe bm nafkah anak sandwich generation bm nafkah anak anakanaknya;negative
fakta orang tua sesuai umur bstatus fiansial aman kerja hidup keluarga sandwich generation side ramai aman;neutral
fase biaya teman sandwich generation menyalalahhhh;negative
mikrofon lunas hutang sandwich generation ehhhh eeetttt aduh pikir gampang beli kecap warung ketemu blio;negative
meni enggak bisa bayang tres hidup orang hidup keluarga bikin darah iya wkwkwkwkwkwkwk sandwich generation selesai mending dicepetin mati gapapa;negative
dapat orang indonesia jtbulan segitu side ramai influencer sandwich generation orang tua emang kerja kuliah nabung;neutral
keluh sandwich generation sbnrnya orang tua sandwich parent eh sandwich ditgh tau nyebutnya but anyway maksud orang tua hrusny selesai ngasuh anak beban ngasuh cucu;negative
sandwich generation sisi orang pasang tertawa tertawa pasang sisi berat prioritas keluarga satu orang andal keluarga kesal;negative
part of sandwich generation sedih baca nabung tertawa hasil nabung gaji kakak uang butuh xcbsbs kasih ganti duit mustahil gapunga akal nagih uang;neutral
juta kadang juta sandwich generation apax andal keluarga;neutral
sulit sandwich generation lapis dalam;neutral
terima kasih perhati oniisan sungguh dermawan hati pikat sandwich generation bilang;positive
untung gweh bungsu aduh anak sandwich generation selesai ekwkw;positive
trend ninafeast ajar kakak juang adik semangat sandwich generation;neutral
iya allah senang saving segitu pasuk era sandwich generation tertawa imbang atur saving;positive
tulis lovenextdoor senang meromantisasi trauma anak perempuan sandwich generation hes senang seeing suffer;positive
sandwich generation nabung ribu syukur teman eheheheheh;positive
cerita derby romero sandwich generation;neutral
sandwich generation jepit tua muda konservatif;neutral
ce cari nafkah sandwich generation;neutral
wml allah tolong ikhlas sandwich generation ganti kakak;neutral
tiru iya kasihan anak sandwich generation kecuali kaya putri raja bebaass;negative
kemarin habis ceritain istilah sandwich generation papa kota desa desa bangga anak biayain hidup keluarga;positive
perkara sandwich generation teguh adik;neutral
habis putus sandwich generation beban pikir himalaya;negative
putus cowok kemarin sandwich generation nganggur egois putusin terima bilang gadis matre dan bagai wajar gadis pergi pacar mokondo habis;negative
dapat juta sandwich generation sulit iya ongkos bulan bayar listrik wifi asih orang tua asih kakak kakak anggur biasaya kerja rumah bagi kerja kerja rumah handle penuh;neutral
eh tabung beli tanahrumahemas kerja uang foya foyain sono beli mobil rumah uang mana mmm iya sandwich generation;neutral
mati mati juang rezim sandwich generation tinggal ngaruh orangtua model anjing;negative
rilis lagu soundtrack film bagus lagunyaa wakil sangga tiang keluarga sandwich generation congrats git;positive
pilih pilih tolak pilih sandwich generation paham mana paksa terima pilih sandwich generation wajib;neutral
fight flight anymore this fight fight response biggest hug of sandwich generation tulang punggung keluarga kuliah kerja tekan hidup messed family mentally ill dsb hebat teman tahan titik;negative
mah keluarga sandwich generation tertawa;neutral
benci this kind of person who sayang im most suffering person world saying suicidal thoughts another person sandwich generation kuliah gap year gaji umr jogja tinggal nikah nganggur nyata;negative
diri henti impulsive buying sandwich generation tagih keluarga tunggu tertawa;neutral
teman sender orang kampung rantau kerja jakarta gaji umr kantor gaya hidup wow kasih saran tips hemat sedih maklum sandwich generation terimakasih;neutral
struggling semangaaat moga capai tidak apa sandwich generation pahala;positive
thrifter superpower genz terap frugal living sandwich generation thrifting salah lifehack cost savings jalan hidup brutal penuh plotwist untung dunia putar untung;negative
meromantisasi sandwich generation but sisi suka sedih haru sedih terima kasih moga halhal serta;negative
orang zaman erti konsep sandwich generation aku nabung aku sok tanggung uang iya abis kuat kuat anak perempuan sulung;positive
negara tutup mata nama generasi sandwich generation atur zaman jebot revisi;neutral
sandwich generation mah pikul kerja kuliah nganggur posisi wisuda bayar siap itu fagg kesal asuu menang;negative
sandwich generation senyum gaji habis cepat kilat;neutral
derby romero anak sandwich generation;neutral
omong kesana kesini sandwich generation point motong tambah dapen motongnya karyawan karyawannya iya sandwich generation dapen pajak potong perintah manfaat;neutral
iur dana pensiun tambah wajib ringan beban sandwich generation;neutral
anak kos ganti sandwich generation;neutral
iya orangtuanya konglomerat safety net omong sandwich generation coba;neutral
masalah berangkat kerja gamasuk drama kena marah yaalloh teman kerja kemarin yaalloh cape kerja sandwich generation;negative
semangat tulang punggung keluarga sandwich generation;positive
alhamdulilah sandwich generation nabung habis gaji langsung nyisihin tabung sisa hidup sisa masuk tabung alhamdulilah bikin lapar mata gampang cek;positive
teman info loker negeri dongs cepek tinggal indonesia gaji numpang sandwich generation menang;neutral
diucapin ultah dimintain uang wkwkwkwk semangat wargaa sandwich generation;positive
sandwich generation bocil inner child butuh windut hidup;neutral
sehat lancar rezeki sandwich generation;positive
righhhttt maaf uang oriented sandwich generation stres;negative
zaman zaman jodoh jodoh iya orangtua juragan tanah ngalamin nanggung biaya bulan dsb generasi ngalamin teken orangtua adik sandwich generation;neutral
sandwich generation generasi umur salah generasi dengar cerita angkat kakek juragan tanah sawah kontra dsb ngewarisin;negative
gaji kasih this sandwich generation;neutral
anak dokter satu keluarga sandwich generation alergi diclofenac cefadroxil suka ngopi gerd kambuh boros fangirling kabur rumah tinggal jabodetabek gamophobia;negative
iya masyarakat kelas tengah tanggung sandwich generation subway turkey minum zionist;neutral
alhamdulilah privilage sandwich generation hidup ngepas orang tua tuntut anak adik apa butuh hidup orang suka utang;positive
iya allah anak perempuan sandwich generation ngeluh;negative
orang tahan manusia banyka sandwich generation broken rumah hahahhahaa kasihan;negative
nyiptain istilah sandwich generation kesal tau;negative
salut kerja sandwich generation kuat;positive
fakta sahabat film rumah sweet loan kisah sandwich generation;neutral
moga mutus sandwich generation biar;neutral
dijodohin blio pacar kalang sandwich generation;negative
temanteman masuk golong sandwich generation coba dengar mudahmudahan kuat;neutral
sandwich generation sbnrnya duga aware ngelewatin fase;neutral
anak perempuan sandwich generation umur pasang tinggal indonesia moga waras;neutral
sesuai mapan selesai tugas sandwich generation tertawa;neutral
aneh yan eling kowe kuwi anak yatim sandwich generation sing penghasilane pas melu sing gaya hidupe;neutral
tonton kuylah ajak kawankawan sandwich generation tonton film dewasa;neutral
sinopsis rumah sweet loan hidup perempuan sandwich generation;neutral
keluarga sandwich generation iya gaji juta keluarga sandwich gen anak sekolah iya bilang juta mepet;neutral
anak perempuan sandwich generation agree;neutral
sandwich generation xde rsa long kerja sara orang sayang;neutral
gaji digit tangan sandwich generation jabodetabek anak mah ngepas iya wooooyyyy;negative
mepet orang iya sandwich generation rumah anak biaya didik anakklo peduli mahal susumakan;negative
juta sndirian anak kost mepet sandwich generation aduh;neutral
jujur mepet tanggung apaapa mah segitu lumayan banyak masyarakat sandwich generation juta biayain kepala tulang punggung keluarga mah engap;positive
world doesnt revolve around tau tinggal jakarta afford tinggal permanent peta mahal keluarga dsb sandwich generation atuhlah omong lihat keliling;negative
sandwich generation tinggal kota jakarta gaji juta mepet alam;neutral
lupa sandwich generation tanggung hidup orang tua adik tuhan maha asih maha sayang;positive
single mepet puntennn iya tinggal jakarta berat biaya tambah sandwich generation;negative
surabaya mepet itungannya keluarga sandwich generation beda cerita bayar rent kos makan gratis ur orang tua mobil ain pleae yall bfr;positive
habis baca artikel sandwich generation posisi anak ngeback butuh adeknya dar hindar peran orang tua saat anak;negative
gaji juta keluarga jakarta nabung aku hebat jempol sandwich generation keluarga huhu sehatsehat iya juang keluarga;positive
sandwich generation tahi mending modar ra nek ngene;negative
anak tumbuh stunting bunuh mimpi anak ekonomi anak investasi tua putus sekolah kerja anak bawa umur waris hutang miskin anak jual jalan gendong adik sandwich generation dsb salah;negative
salah faktor kaum tengah sandwich generation;neutral
kadang doang sedih dijalanin hidup sandwich generation yeaay;negative
iya tawar sesuai sandwich generation tulang punggung keluarga idealis tawar uang kursi jabat beda contoh aktivis;neutral
orang who used be teller while being sandwich generation tragically lucu relateable tekan moga series iya ce ehehehe aduh tega bayang hun selisih sesuai liwest titik aaa kuatkuat;negative
posisi sesuai pas crweky provide sandwich generation mesti setor rumah bantu bantu butuh dikorbanin nama rumah kendara pribadi;neutral
gaji segitu survivenya anak perempuan sandwich generation menang baca;neutral
kesal anak gitu sandwich generation;negative
kena syukur hidup tahan gaji juta alhamdulilah mana butuh rumah sandwich generation pilih pinjam online bantu petaka;positive
alas orang child gratis masuk akal dengar sandwich generation beban generasi tanggung pikul;negative
tanaya anak salah naga indonesia bentuk thiyasa hari belanja kakak nalen bosan dikit keliling eropa apa daya nikah sandwich generation;neutral
iya sandwich generation numpahin sedih kemudi disepelein jadi ledek olah sepele eh gilir nutup tutup nunjukin senang neng depan sangka prihatin alias bodoamatan sulittt;negative
sehat anak financial juang sandwich generation kasih uang asih uang always;neutral
masamasa sekolah kuliah rasai sandwich generation kerja keluarga iya rasai tanggung xixixi;neutral
sandwich generation finansial tenaga tenaga asli kesal astaghfirullah nurutin mau orang rumah bantu sisi capek bohong cuy kadang asa kah kesal;negative
teman sandwich generation enak know ngeluh syukur wajar capek gapapa iya teman insyaa allah lelah hitung ibadah allah;negative
orang tua pegawai negeri sipil sesuai pensiun anak sandwich generation orang tua teman karyawan bumn sesuai pensiun anak kirim uang bulan orang tua anak kena sandwich generation pegawai negeri sipil gaji bikin susah anak pikir orang tua;negative
babgsat kena sandwich generation jancuk hle wkwkwkw setup seram;negative
oh kembar tiga paut sulung masuk usia kelas sd sandwich generation usia nyala way kembar identik pasang iya;neutral
takut realitanya kuliah banyak relasi alam iya ujung underpaid gaji yasudah sandwich generation;neutral
bilang belikan pulsa tf posisi keluarga gueeee kerja sandwich generation minjem orang kurang ajasi;neutral
maaf iya gaji berani nikah anak kayak mertuakeluarga asih tambah biayain sandwich generation;negative
kerja sandwich generation enggak mau kerja kesal irt sejahtera batas harap tidak tahu suami rezekinyaa sultan istri kerja cari uang tambah;neutral
iya ngaruh kakak beliau sandwich generation improve skill ngurusih siswa pikir kutat cari pasu tambah;positive
bantu orang tua akhirat sandwich generation afterlife;negative
kesal banget anak sandwich generation irt;negative
haris iya sedih huhuuuu deserves suka world beban sedih haris alami orangorang sandwich generation trauma keluarga;negative
anjing benci jas sandwich generation;negative
generasi roti lapis sandwich generation hadap tanggung ganda rawat orang tua penuh butuh keluarga;neutral
kesal sandwich generation udahnya penuh wajib tuntut amin rezeki raya berkah barokah doa harap;negative
curhatan teman juang tahun bantu pasang sandwich generation sesuai putus beliau juang sadar besar kondisi ekonomi keluarga sifat;neutral
ngeluh menang rezeki pikir rezeki allah kasih alhamdulilah orang tua alhamdulilah orang tua tuntut sandwich generation tampar diri syukur;positive
takdir elak mati lahir miskin mah elak pilih pilih pilih orang sandwich generation banyak korban pilih orang tua;negative
middle kelas sandwich generation biayain gaji beda bantu posisi aman middle kelas suruh syukur makan;neutral
magang msib simulasi sandwich generation;neutral
korban sandwich generation daya parah hasil kerja keras biaya adik kakak tua meni anggap keluar;negative
kaget kelas tengah sandwich generation topang sendi hidup negara sapi perah diperhatiin wellbeingnya calon presiden program majakin konglo instead pilih langgeng sistem bobrok;negative
biaya beli hp maksimal juta mahal sandwich generation mending bayar adik alhamdulilah upgrade hp biaya digit mikirnya kali bayar suami;negative
naeun adik karyawan gaji hidup ala sandwich generation kaos rumah barrie;neutral
inti sandwich generation dik janji bahas bobot putar isuisu politik baca karya karya sastra bangga dekat harap rupiah keluarga nafkah;neutral
dewasa plot twist iya bjir pusing pikir tagih selfcare paket sehat sehat sandwich generation;neutral
teman jadi timbang nek awak sandwich generation harap biayain ortumu adekmu ponakan mending cari kerja gapapa semangat;negative
mikir ah kaliya part of sandwich generation fucking way span of kecuali nikah jun wonu;negative
sadar habis makan sandwich generation;neutral
populasi lgbt empat orang anak tanggung sandwich generation biyaya hidup mahal macam belanda sah nikah tara punah;neutral
menang mutlak bijak rawat lansia harap iya bantu sandwich generation orang usia tingkat tumbuh ekonomi butuh primer;neutral
kerja pagi malam apaapamau beli mikir kali mentingin sehatsehat sandwich generation;negative
iya paham banyak negara tuju kurang sandwich generation kelola gimanaaaaa;negative
huffft habis uang rupiah beli meterai adik situs status tunggu bayar situs satu bubuh didownload sandwich generation uang segitu lumayan;neutral
amin sehat sehat sandwich generation;positive
jual sandwich iya asupan sandwich generation;neutral
iya senang kisah cinta orang eh buset selesai konser fate sandwich generation omong bentar tour jepang;positive
nikah tanggung sandwich generation menang dengar jomblo berani meni dapur orang tua butuh ngebul sekolah adik ukt biayain negara jenis pajak ngotak;negative
rumah sweet loan cerita grounded realita milenial kerja rumah sandwich generation tinggal keluarga rumah sempit rame nikah keluarga pacar ribet;neutral
trailer rumah sweet loan gambar plot cerita penuh dinamika emosional adaptasi novel karya almira bastar film bawa kisah juang sosok sandwich generation;positive
rumah sweet loan rilis poster trailer tampil tekan hidup sandwich generation;neutral
hh tulang punggubg company iya berat middle childkerja rodi bayar hutabg sangka terbyata enha sandwich generation;negative
kepala nyut nyut tanda tanda oh tanda tanda sandwich generation;negative
nama sandwich generation mesin press generation gan;neutral
muka sandwich generation tanggung utang agens;neutral
halo mohon bantu sandwich generation sesuai kriteria isi kuesioner teliti tugas terima kasih perhati bantu;neutral
owen sedih sandwich generation anak bontot peran sandwih generation asih orang tua kakak yourself number priority utamain neng nyenen;neutral
orang mah sandwich generation sandwich position cari uang hidup syukur sukurin diaz;positive
enhypen iya kasihan sandwich generation;negative
kasihan enhypen sandwich generation tertawa;neutral
harga upah bulan umr sandwich generation dsb lupa derita;neutral
masyarakat usia produktif tanggung masyarakat usia pensiun sandwich generation fasilitas negara tunggu kuat;neutral
strict orang tua sandwich generation harap orang tua contoh adik gaboleh ngeluh kesal ngerubah nasib keluarga gaboleh kerja dana kuliah peka iya semangat anak gadis hebat;positive
kayak parah sandwich generation kak kejar an;negative
enhypen ngidupin adeknya kah sandwich generation iya enhaipen;neutral
anjir menang iya anak tulang punggung sandwich generation;negative
kasihan enhypen anak sandwich generation biayain orang tua keluarga;neutral
ekspect enha debut generation sandwich agens tertawa;neutral
anak sandwich generation biaya tante om iya;neutral
adik sayang sayang kakak sulung suruh rodi sandwich generation tulang punggung agens;neutral
anak berat hidup sandwich generation spill orang tua;negative
enha benar sandwich generation tulang punggung keluarga ngelunasin hutang anak kocak;negative
enhypen segar lulus sandwich generation kah habis lulus langsung kerja kasihan;negative
artis belift kakak satu illit illit debut kemarin kasih comeback enha comeback tour tidak ada jedaenha sandwich generation kasihan tulang punggung agens;neutral
jadi sandwich generation belshit marahin tolong bakar gedung;negative
enha nanggung keluarga judul sandwich generation asa;neutral
jahat ih sedih asa sapi perah parah anak sulung asa sandwich generation anak keren agens sebal dar grub konser iya suka agens niat huh kesal arrgghh;negative
anak lakilaki tulang punggung sandwich generation;neutral
sandwich generation kah agens jahat enha protes dikit;negative
besar anak iya bikin tolong mikir jangka panjang kesi sandwich generation asa balas budi tau;negative
adik enjin sabar iya kakak bangtan pulang enha sandwich generation;neutral
sandwich generation iya kerja penuh uang keluarga;neutral
mah sandwich generation biayain tua muda;negative
carlos tevez main argentina rumput klub duo manchester bukti sandwich generation nyata hidup kakak keluarga puncaknyab terima pinang klub china uang;neutral
terkadang iri gaksih orang lahir sandwich generation wkwkwkw;negative
cengkareng cakung kali ketemu tarik gocar pensiun usaha kawasan industri jakarta anak lulus kuliah kerja mrantau cari sibuk masa tua tarik grabgocar orang hebat cipta sandwich generation;neutral
kesal anak perempuan sandwich generation eh tulang punggung keluarga deng tertawa;negative
sandwich generation broken rumah apaapa tolong;negative
narasi sandwich generation takut buat bikin depresi pikir alhamdulillah hidayah rubah pikir takut;negative
tambah anak perempuan sandwich generation hidup gudang tuntut hidup bohong butuh dukung system sadar oversharing;negative
hidup lihat orangorang untung sandwich generation syukur;positive
indonesia miskin sandwich generation mahal harga barang bodoh allah sedih;negative
sandwich generation tantang tua hidup tenang putus rantai generasi sandwich tabung citra pensiun hadir fleksibilitas sedia tabung;neutral
alhamdulilah senang bangga mskipun posisi sandwich generation;positive
orang kayak pakai istilah sandwich generation tulang punggung keluarga iya dengar bilang sandwich langsung pikir meni anak;negative
teman prihatin baca cerita sandwich generation hubung terima;neutral
malam begadang pagipagi berangkat kerja khodamnya anak sandwich generation;neutral
hidup sandwich generation gambar lirik lagu nina feast;neutral
capekkkk sandwich generation laki gadak otak iya tanggung;negative
tinggal agustus pasuk september bagi berita investor tipikal mulyono apbn kucur ikn selamat pagi sandwich generation;neutral
grass root mayoritas ekonomi tengah bawah hari sibuk banting tulang kerja cari uang hidupin keluarga sandwich generation they understand politic situation deeply kesal duluan;negative
alaah tahi nasib sandwich generation;neutral
bodoh orang omong kuliah mandang umur tau kuliah lambat sandwich generation ngumpulin uang kuliah;negative
brow titik salah bawa sandwich generation sandwich generation salah orang tua cipta anak sandwich generation paham iya sandwich generation salah perintah;negative
beli album versi blue pink apa kaum dang mending sandwich generation impulsif beli nabung konser;neutral
ayo semangat sandwich generation moga sehat umur;positive
gaji utuh butuh nikah heh kenal sandwich generation butuh keluarga pikul;neutral
enggak pernah maksa anak mjd sandwich generation penuh jasmani puji tuhan;neutral
belikan semprot rumput habisa pikir duit lancar rezeki anak perempuan sandwich generation tuhan;neutral
nikah sandwich generation beli makan barang kebel rasa belanja lihat price tag;neutral
anak sandwich generation cuti iya;neutral
hotdog sandwich generation serius santai;positive
sahsah sandwich generation bahagia menghamburhamburkan uang hasil kerja keras senang;positive
anak beban sandwich generation kerja usaha ngangkat derajat keluarga sponsor dukung finansial arghhhhhh kesal;negative
janji jadi anak dana darurat sandwich generation putus emaknya ajaaaaa;negative
gajipendapatan warga tengah kisar juta itu bagi sandwich generation perintah kasihan warga tengah ambil hak pakai transportasi bgimana;neutral
enggak punya tabung sandwich generation iya;neutral
harga turun demo apatis tarik uang bawa rumah dar makan keluarga nasib ojol sandwich generation bayar obat keluarga lilit pinjam online;neutral
rakyat sandwich generation mulyono pensiun sibuk nyariin anak kerja;neutral
difabel kota ramah lansia patut diperjuangin perintah biar biar orangorang coli moral quesehra marahmarah sandwich generation abandoning orang tua panti tahan hidup besok;negative
kesal anak perempuan sandwich generation tertawa episode asemnya episode manis buram cuuuy keluh kayak istirahat pause sebentar tertawa;negative
kesal iya sandwich generation lehaleha while salah ngeluh kesal bilang syukur wkwkwkwkwkwkwkwkwk;negative
gaji juta kelah sandwich generation;neutral
usia jarang sepi tengah ramai gen sepuh keluarga tuntut sandwich generation nikah jawab mohon doa;neutral
siang debat teman kantor enteng bilang orang sandwich generation salah enggak bisa manajemen uang;negative
sandwich generation vs nabung nikah yallahhh;neutral
tampar realita sandwich generation bolak psikiater pikir carane biar waras keluarga senang lihat kon well hibur sesuai kesal semangat;positive
menang ratus ribu eh siang orang tua minjem uang juta bilang sandwich generation tanggal kasih jatah bulan tidak apa ikhlas;negative
kakak kuliah hasil beasiswa reguler iya enggak bisa kerja kah maksud daring iya sedih sandwich generation;neutral
istilah sandwich generation muncul stawberry generation besok besok alpuket;neutral
sungguh allah anak anak sandwich generation menang dikit;positive
sayang anak perempuan sandwich generation kuatkuat iya;positive
salah alas sandwich generation indonesia bijak perintah;neutral
tutorial damai sandwich generation damai kalah keluarga;positive
kuat kuat anak bungsu sandwich generation tulang punggung;positive
soresore enak makan sandwich generation;positive
kerja diri kadang jam minggutgl merah masuk tidak ada libur bilang stres iya stres sandwich generation;negative
wakil bingung bikin rumah iya sandwich generation hasil pas syulit beli bahan bangun rasa berat;negative
pribadi rekomen kakak cerita hubung masyarakat tengah sandwich generation romancenya sesuai baca novel selagi tunggu film tayang;neutral
iya allah sandwich generation tolong;neutral
kesal hidup sandwich generation akar;negative
pakai koyo kasihan mi sandwich generation;negative
dasar alam pribadi gaji umr newly wed ngontrak sandwich generation cicil beli barang mewah negeri itu sesuai pas butuh hari nabung jalan jalan akhir pekan;neutral
kerja kaki kepala kepala kaki beginih kerja ripuh sayang sandwich generation hidup manusia bulannyah;negative
salah alas sandwich generation bijak perintah;neutral
wanti orang rumah peka pagi lampu matiin kipasac appn pakai langsung matiin temperatur mode ac perhati iya kaum middle kelas sandwich generation;neutral
mikir sandwich generation beban berat semanget malesan gaya hidup teruus kejar debst;negative
sandwich generation kerja gaji utuh keluarga cemara jajan mana tros sahabat kualitas masyaallah tebak ujiaan dimna;neutral
salah alas lahir sandwich generation bijak perintah;neutral
sadar iya perintah peran bikin sandwich generation;neutral
adil middle kelas sandwich generation;neutral
ide tanggal tua pakai arisan enak gaji juang tunggu gaji sehat sehat sandwich generation;neutral
susah babe sandwich generation mah;negative
mein kempf sandwich generation edition sadar asli bayarin utang bayarin simpenannya tabung juta ludes minggu bayarin adik kuliah selesai juta purwadhika;neutral
depresi sakit cari kerja lulus susah coba cpns terima admin toko adik gaji kerja halang batas usia sandwich generation orang tua kerja adik nikah bayar;neutral
salah ras kuat bumi iyain anak perempuan sandwich generation mutus rantai adik sekolah kuliah anak;negative
ngersasa sandwich generation beban ulang ulang;negative
untung cukup sesuai kerja suruh asih jatah orang tua bilang sandwich generation;neutral
bingung balas sandwich generation berat jalan bahagia semangat puas nikmat hasil kerja bayarin bahagia;negative
iya orang gaji digit pjawa pinjam uang orang pulau gaji umrsandwich generation posisi ekonomi keluarga;neutral
sandwich generation era tahu literasi uang orang tua beda kerjabisnis uang erti kelola erti kelola sisa tertawa;neutral
sibuk kuliah kerja tahan hidup sandwich generation;neutral
mau langsung belanja sesuai tanggung sandwich generation hubung ayo coba absen kolom komentar;neutral
pilih wartawan ajar buruh kelas sosial andai realita buruh ajar tuntut hidup sandwich generation miskin struktural;negative
beli properti nyicil rumah nyicil motor mobil hitung pajak orang sandwich generation asih orang tua nyekolahin saudara pikir jajan roti ribu;neutral
pajak potong pajak tahun gangotak klasifikasi perintah maruk rakyat sandwich geprek generation bengek;neutral
kelas tengah rugi buruh budak korporat tanggung beban hidup bantu perintah sandwich generation;neutral
butuh uang tahan hidup nafkah keluarga sandwich generation tahan kerja tempat;neutral
kecewa keluarga middle kelas kakak sandwich generation pilih diam sembunyi suara sosial media;negative
grup chat sekali aktif langsung ratus maklum isi sandwich generation;neutral
ih anjing keluarga geblek mending usaha kayu anjing bikin juta juta orang melarat mah sandwich generation tinggal diam tunggu putus kerja enteng keluarga ubah ubah;negative
cerita sandwich generation biayain keluarga beli rumah hubung iya anak muda zaman;neutral
kakak erina tau sandwich generation tau iya adekku gopoh bayarin kuliah adik tua darah gopoh cari uang anak sekolah biar didik kakak;negative
tau sandwich generation hahahahahhaaghahahahahahahahaha term;positive
tertawa mah enak pikir negara duit ngefek coba orang strugle cari kerja sandwich generation tinggal indonesia respon beliau tertawa;positive
mahasiswa cuek politik kali enggak bisa cuek anak sandwich generation enggak mau peras mati keluarga owi darah keringat usaha beli roti nepobaby;negative
sandwich generation bikin susah gara gara bijak anjing kecewa keluarga owi keluarga cendana minder bejat;negative
temantemanku paksa sandwich generation hilang tulang punggung keluarga kondisi uang baikbaik canda jabat tolak maaf;neutral
sandwich generation laku anakanakku kelak ajar juang;positive
sandwich generation coba tangan sandwich generation terhimpit roti lapis atur uang pikir tanggal tua;neutral
sehat tulang punggung keluarga sandwich generation sehat penuh hidup keluarga keringat terimakasih teman berani turun jalan wakil;positive
hancurrrrr sandwich generation rasa berat penuh biaya hidup hari;negative
lulus cari info loker sandwich generation anjing cari kerja susah tidak ada ordal kerja magang susahh tidak ada bantu ordal babi;negative
ngantor pakai baju hitam jujur terjun sandwich generation;neutral
makan pajak rakyat pajak tukang bakso pajak jahit rumah pajak sandwich generation pajak rakyat miskin minimal malu;neutral
fitur seabank sandwich generation transfer enggak mau uang biaya admin minsea spill fitur transfer grup transfer keluarga lupa balas transfer grup sebanyakbanyaknya;neutral
indikasi jadi sandwich generation mbah kandung coba kuliah anak financial plannernya dimatengin nyatot anak orang hutang budi;negative
